candidate_id,application_date,department,role_level,source,gender,education,city,experience_years,screened,interviewed,interview_score,offered,offered_salary,expected_salary,accepted,joined,days_to_hire
CAND00018,2024-05-03,Operations,Mid-Level,LinkedIn,Female,MCA,Hyderabad,13.3,True,True,5.0,False,,,False,False,
CAND00019,2023-08-24,Sales,Junior,LinkedIn,Female,B.Sc,Delhi,2.4,False,False,,False,,,False,False,
CAND00020,2023-12-13,Sales,Senior,LinkedIn,Male,B.Sc,Ahmedabad,11.2,False,False,,False,,,False,False,
CAND00021,2024-12-01,Sales,Junior,Employee Referral,Male,PhD,Chennai,3.7,True,False,,False,,,False,False,
CAND00022,2023-07-01,Sales,Mid-Level,Campus,Female,B.Tech,Pune,3.5,True,False,,False,,,False,False,
CAND00023,2024-11-09,Engineering,Mid-Level,Recruitment Agency,Male,BBA,Bangalore,11.2,True,True,7.4,False,,,False,False,
CAND00024,2023-03-09,Engineering,Junior,Naukri,Male,MCA,Ahmedabad,5.6,False,False,,False,,,False,False,
CAND00025,2022-11-20,Product,Junior,LinkedIn,Female,PhD,Delhi,3.8,True,False,,False,,,False,False,
CAND00026,2023-11-01,Engineering,Senior,Employee Referral,Male,MBA,Bangalore,3.8,True,True,7.8,True,1105538.0,1234263.0,True,False,29.0
CAND00027,2022-11-10,Data Science,Senior,LinkedIn,Male,B.Tech,Delhi,8.1,True,True,4.2,False,,,False,False,
CAND00028,2022-04-04,Data Science,Mid-Level,LinkedIn,Female,M.Tech,Hyderabad,9.3,True,True,7.2,False,,,False,False,
CAND00029,2023-04-26,Finance,Mid-Level,Recruitment Agency,Male,B.Tech,Ahmedabad,4.1,True,True,9.8,False,,,False,False,
CAND00030,2024-02-22,Sales,Junior,Naukri,Male,MBA,Ahmedabad,8.2,False,False,,False,,,False,False,
CAND00031,2022-09-29,Data Science,Senior,Company Website,Female,BBA,Pune,6.3,True,False,,False,,,False,False,
CAND00032,2023-06-04,Engineering,Junior,LinkedIn,Male,BBA,Chennai,10.6,True,True,6.8,True,412062.0,411730.0,False,False,
CAND00033,2023-12-23,Sales,Mid-Level,LinkedIn,Female,MBA,Ahmedabad,12.8,True,True,7.9,True,753012.0,891172.0,False,False,
CAND00034,2024-11-18,Data Science,Mid-Level,Employee Referral,Female,B.Sc,Hyderabad,5.8,False,False,,False,,,False,False,
CAND00035,2022-03-19,Engineering,Junior,LinkedIn,Male,MCA,Delhi,10.2,True,False,,False,,,False,False,
CAND00036,2024-08-18,Engineering,Mid-Level,Campus,Male,B.Sc,Delhi,9.4,False,False,,False,,,False,False,
CAND00037,2022-05-20,HR,Junior,LinkedIn,Female,MCA,Mumbai,11.0,True,True,9.2,True,388631.0,462372.0,False,False,
CAND00038,2022-04-20,Engineering,Mid-Level,Naukri,Male,B.Tech,Chennai,4.5,True,False,,False,,,False,False,
CAND00039,2022-04-02,HR,Manager,Naukri,Female,M.Tech,Bangalore,7.4,True,True,7.3,True,2959645.0,3003958.0,True,False,72.0
CAND00040,2022-06-06,Engineering,Mid-Level,Naukri,Female,MCA,Bangalore,1.8,False,False,,False,,,False,False,
CAND00041,2024-02-13,Sales,Junior,LinkedIn,Female,MBA,Mumbai,12.3,True,True,9.9,True,404477.0,486303.0,False,False,
CAND00042,2023-04-10,Product,Mid-Level,Campus,Male,B.Sc,Hyderabad,8.4,False,False,,False,,,False,False,
CAND00043,2022-05-09,Engineering,Junior,Naukri,Male,MBA,Hyderabad,1.8,False,False,,False,,,False,False,
CAND00044,2022-09-02,Finance,Manager,Employee Referral,Male,B.Tech,Mumbai,13.0,False,False,,False,,,False,False,
CAND00045,2022-03-22,Engineering,Junior,Recruitment Agency,Female,BBA,Pune,14.9,True,False,,False,,,False,False,
CAND00046,2024-09-13,Marketing,Senior,Employee Referral,Male,B.Sc,Chennai,8.8,True,True,9.7,False,,,False,False,
CAND00047,2023-10-02,Marketing,Mid-Level,Employee Referral,Male,MBA,Ahmedabad,5.3,True,False,,False,,,False,False,
CAND00048,2022-06-28,Product,Mid-Level,Employee Referral,Male,M.Tech,Pune,10.3,False,False,,False,,,False,False,
CAND00049,2024-08-06,HR,Senior,Company Website,Female,MBA,Delhi,14.0,True,True,6.3,False,,,False,False,
CAND00050,2024-07-06,Product,Senior,LinkedIn,Male,BBA,Bangalore,12.6,True,True,5.6,True,1391300.0,1458966.0,False,False,
CAND00051,2023-05-09,Product,Senior,Employee Referral,Female,MBA,Bangalore,3.7,True,False,,False,,,False,False,
CAND00052,2024-01-06,Sales,Senior,LinkedIn,Female,M.Tech,Kolkata,1.7,True,False,,False,,,False,False,
CAND00053,2022-05-27,Marketing,Senior,Indeed,Female,BBA,Bangalore,6.1,True,False,,False,,,False,False,
CAND00054,2023-10-08,Sales,Junior,Employee Referral,Male,M.Tech,Delhi,5.3,True,True,9.4,True,421678.0,481057.0,False,False,
CAND00055,2022-03-14,Sales,Manager,Indeed,Male,B.Tech,Delhi,11.5,True,True,6.1,True,2684737.0,2509258.0,True,True,30.0
CAND00056,2023-07-19,Engineering,Senior,LinkedIn,Male,B.Tech,Bangalore,13.1,False,False,,False,,,False,False,
CAND00057,2023-08-24,Sales,Lead,LinkedIn,Male,MBA,Pune,0.5,True,True,9.4,True,1798253.0,1790482.0,True,True,36.0
CAND00058,2024-03-30,Engineering,Manager,Indeed,Male,MBA,Hyderabad,12.1,True,True,6.2,False,,,False,False,
CAND00059,2024-02-21,Sales,Mid-Level,Naukri,Female,BBA,Bangalore,3.8,False,False,,False,,,False,False,
CAND00060,2022-10-22,Marketing,Junior,Naukri,Male,MCA,Bangalore,3.6,True,True,5.9,True,399299.0,361557.0,False,False,
CAND00061,2023-10-05,Sales,Senior,Employee Referral,Male,PhD,Hyderabad,8.1,True,True,4.8,True,1210709.0,1368795.0,False,False,
CAND00062,2022-09-27,Data Science,Senior,Recruitment Agency,Male,BBA,Pune,2.3,True,True,5.7,True,1402835.0,1063326.0,True,True,50.0
CAND00063,2023-06-22,Product,Senior,Indeed,Female,PhD,Chennai,14.6,False,False,,False,,,False,False,
CAND00064,2024-11-25,HR,Mid-Level,Employee Referral,Male,B.Sc,Hyderabad,3.1,True,True,8.4,True,778518.0,836850.0,True,True,50.0
CAND00065,2022-08-09,Data Science,Mid-Level,Employee Referral,Male,B.Sc,Kolkata,8.2,True,True,4.8,True,654506.0,744047.0,False,False,
CAND00066,2024-12-21,HR,Lead,LinkedIn,Female,MBA,Chennai,14.0,True,True,9.6,True,1645971.0,2163026.0,False,False,
CAND00067,2024-09-21,Finance,Lead,Campus,Male,MCA,Bangalore,9.5,True,True,8.1,True,2005442.0,2258730.0,False,False,
CAND00068,2022-03-14,Marketing,Senior,Naukri,Male,PhD,Kolkata,8.0,True,True,6.6,True,1342997.0,1394607.0,True,True,47.0
CAND00069,2024-03-25,Marketing,Senior,Indeed,Male,B.Tech,Pune,3.7,True,True,8.6,False,,,False,False,
CAND00070,2023-08-15,Data Science,Junior,Campus,Female,M.Tech,Ahmedabad,7.5,True,True,8.6,True,431813.0,441791.0,False,False,
CAND00071,2022-11-12,Sales,Manager,Campus,Male,BBA,Ahmedabad,6.4,False,False,,False,,,False,False,
CAND00072,2023-09-11,Operations,Junior,LinkedIn,Male,M.Tech,Bangalore,14.0,False,False,,False,,,False,False,
CAND00073,2024-03-17,Operations,Junior,Employee Referral,Female,MBA,Mumbai,6.4,False,False,,False,,,False,False,
CAND00074,2024-10-05,Operations,Junior,Naukri,Other,BBA,Hyderabad,1.9,False,False,,False,,,False,False,
CAND00075,2022-01-06,Marketing,Mid-Level,Employee Referral,Male,B.Tech,Delhi,12.0,True,True,7.2,False,,,False,False,
CAND00076,2022-06-04,Data Science,Senior,Naukri,Male,MCA,Bangalore,6.8,True,True,6.5,False,,,False,False,
CAND00077,2024-11-18,Data Science,Senior,Employee Referral,Male,B.Sc,Mumbai,2.7,True,True,4.5,False,,,False,False,
CAND00078,2022-08-13,Marketing,Junior,Employee Referral,Female,MCA,Ahmedabad,13.5,True,True,6.8,False,,,False,False,
CAND00079,2023-09-05,Engineering,Mid-Level,Campus,Female,M.Tech,Mumbai,6.0,True,True,9.2,False,,,False,False,
CAND00080,2024-02-23,Data Science,Senior,LinkedIn,Male,PhD,Kolkata,2.3,False,False,,False,,,False,False,
CAND00081,2024-05-25,Engineering,Junior,LinkedIn,Female,B.Sc,Ahmedabad,1.6,True,True,5.4,True,389180.0,470008.0,False,False,
CAND00082,2022-01-15,HR,Senior,Naukri,Male,PhD,Kolkata,13.4,True,True,4.2,True,1289894.0,1247569.0,False,False,
CAND00083,2023-11-15,HR,Mid-Level,Naukri,Male,PhD,Kolkata,4.0,True,True,6.6,True,829175.0,835535.0,True,True,70.0
CAND00084,2024-02-05,Product,Junior,Naukri,Male,B.Tech,Chennai,11.1,True,True,7.9,True,375873.0,502103.0,False,False,
CAND00085,2023-03-20,Sales,Mid-Level,Campus,Female,B.Tech,Chennai,1.0,True,False,,False,,,False,False,
CAND00086,2023-11-25,Engineering,Mid-Level,LinkedIn,Male,MCA,Ahmedabad,3.8,True,True,9.0,True,791891.0,727941.0,True,False,15.0
CAND00087,2024-03-01,Engineering,Junior,Employee Referral,Male,MCA,Ahmedabad,13.7,True,False,,False,,,False,False,
CAND00088,2022-06-27,Data Science,Junior,Company Website,Male,MBA,Hyderabad,8.1,False,False,,False,,,False,False,
CAND00089,2023-01-20,HR,Junior,Company Website,Female,MBA,Pune,5.2,True,False,,False,,,False,False,
CAND00090,2022-01-06,Sales,Junior,Naukri,Male,M.Tech,Hyderabad,14.5,True,True,8.8,False,,,False,False,
CAND00091,2024-04-11,HR,Mid-Level,Employee Referral,Male,MCA,Ahmedabad,9.6,True,True,9.9,False,,,False,False,
CAND00092,2022-07-17,Sales,Junior,Employee Referral,Female,MBA,Ahmedabad,13.9,True,False,,False,,,False,False,
CAND00093,2023-06-04,Engineering,Mid-Level,Employee Referral,Female,MBA,Bangalore,14.2,False,False,,False,,,False,False,
CAND00094,2022-05-13,HR,Lead,Naukri,Male,PhD,Ahmedabad,3.5,True,True,6.0,False,,,False,False,
CAND00095,2024-08-28,Engineering,Mid-Level,Naukri,Female,B.Tech,Pune,9.4,False,False,,False,,,False,False,
CAND00096,2024-10-25,Engineering,Lead,LinkedIn,Male,PhD,Pune,7.9,False,False,,False,,,False,False,
CAND00097,2024-08-14,Product,Senior,Naukri,Male,B.Sc,Hyderabad,9.4,False,False,,False,,,False,False,
CAND00098,2023-01-24,Finance,Mid-Level,Naukri,Female,BBA,Mumbai,1.7,True,True,5.4,True,633753.0,906132.0,False,False,
CAND00099,2023-04-03,Data Science,Junior,Employee Referral,Female,B.Sc,Pune,1.3,False,False,,False,,,False,False,
CAND00100,2024-10-29,Product,Senior,Naukri,Male,M.Tech,Hyderabad,3.5,False,False,,False,,,False,False,
CAND00101,2024-05-03,Sales,Junior,Naukri,Male,MBA,Mumbai,2.8,True,True,9.8,False,,,False,False,
CAND00102,2022-06-18,Operations,Junior,Recruitment Agency,Male,MBA,Delhi,10.4,False,False,,False,,,False,False,
CAND00103,2024-08-18,Engineering,Mid-Level,LinkedIn,Female,BBA,Pune,1.4,True,True,9.3,False,,,False,False,
CAND00104,2023-02-13,Operations,Senior,Campus,Female,MCA,Delhi,6.1,True,False,,False,,,False,False,
CAND00105,2023-06-27,Marketing,Junior,LinkedIn,Female,B.Sc,Pune,12.8,True,True,8.9,True,441361.0,441831.0,True,True,33.0
CAND00106,2024-10-15,Operations,Junior,LinkedIn,Male,B.Sc,Bangalore,3.6,True,True,5.1,False,,,False,False,
CAND00107,2022-06-26,Product,Lead,Naukri,Male,MCA,Pune,11.2,False,False,,False,,,False,False,
CAND00108,2023-11-23,HR,Junior,Naukri,Male,BBA,Bangalore,14.7,True,True,7.2,False,,,False,False,
CAND00109,2024-10-17,Engineering,Mid-Level,Campus,Female,PhD,Hyderabad,9.5,True,False,,False,,,False,False,
CAND00110,2023-01-14,Sales,Mid-Level,LinkedIn,Female,BBA,Mumbai,8.7,True,True,9.2,False,,,False,False,
CAND00111,2022-12-21,Product,Junior,Campus,Female,PhD,Pune,0.3,True,False,,False,,,False,False,
CAND00112,2022-06-29,Sales,Mid-Level,Naukri,Other,B.Tech,Bangalore,6.8,False,False,,False,,,False,False,
CAND00113,2024-11-07,Sales,Junior,LinkedIn,Female,BBA,Bangalore,4.1,True,True,9.7,True,436623.0,411566.0,True,False,15.0
CAND00114,2023-09-09,Data Science,Senior,Employee Referral,Male,B.Tech,Mumbai,10.7,True,True,5.0,True,1112819.0,1102975.0,False,False,
CAND00115,2024-05-22,Marketing,Senior,LinkedIn,Male,M.Tech,Delhi,9.2,True,True,4.8,False,,,False,False,
CAND00116,2024-05-23,Data Science,Mid-Level,LinkedIn,Male,BBA,Pune,4.0,True,True,4.1,True,712423.0,746180.0,False,False,
CAND00117,2022-06-09,Data Science,Lead,Employee Referral,Female,MCA,Chennai,11.2,True,True,4.1,False,,,False,False,
CAND00118,2024-08-24,Engineering,Senior,Naukri,Female,B.Tech,Delhi,8.0,True,False,,False,,,False,False,
CAND00119,2022-02-15,Data Science,Manager,Naukri,Male,MBA,Delhi,12.3,False,False,,False,,,False,False,
CAND00120,2022-11-24,Product,Lead,LinkedIn,Female,B.Tech,Kolkata,9.2,False,False,,False,,,False,False,
CAND00121,2023-08-29,Product,Senior,Employee Referral,Female,PhD,Kolkata,9.9,True,False,,False,,,False,False,
CAND00122,2023-12-14,Marketing,Junior,LinkedIn,Male,MBA,Chennai,8.9,True,True,6.0,False,,,False,False,
CAND00123,2023-12-17,Finance,Mid-Level,Indeed,Male,M.Tech,Delhi,0.3,True,True,7.0,True,714684.0,664476.0,True,True,21.0
CAND00124,2023-02-11,Marketing,Senior,Indeed,Female,M.Tech,Pune,5.2,False,False,,False,,,False,False,
CAND00125,2024-08-14,Engineering,Senior,Indeed,Male,B.Sc,Delhi,7.3,False,False,,False,,,False,False,
CAND00126,2023-11-23,Data Science,Senior,LinkedIn,Female,M.Tech,Bangalore,9.3,False,False,,False,,,False,False,
CAND00127,2022-07-18,Engineering,Lead,Employee Referral,Male,M.Tech,Chennai,14.6,False,False,,False,,,False,False,
CAND00128,2022-04-15,Marketing,Lead,LinkedIn,Male,PhD,Mumbai,9.9,False,False,,False,,,False,False,
CAND00129,2023-03-11,Data Science,Lead,Naukri,Male,B.Tech,Ahmedabad,9.0,True,True,9.3,True,1798680.0,1893509.0,False,False,
CAND00130,2023-02-20,Engineering,Senior,Naukri,Female,B.Tech,Ahmedabad,5.4,False,False,,False,,,False,False,
CAND00131,2022-08-14,Data Science,Senior,Naukri,Female,M.Tech,Kolkata,13.0,True,True,4.3,False,,,False,False,
CAND00132,2023-07-10,Product,Junior,LinkedIn,Male,B.Sc,Bangalore,4.7,True,True,9.9,False,,,False,False,
CAND00133,2023-06-20,Engineering,Senior,Company Website,Female,PhD,Ahmedabad,7.7,False,False,,False,,,False,False,
CAND00134,2024-11-28,Engineering,Mid-Level,LinkedIn,Female,MBA,Hyderabad,10.1,True,True,6.7,False,,,False,False,
CAND00135,2023-11-08,Engineering,Lead,Employee Referral,Female,MBA,Chennai,7.5,False,False,,False,,,False,False,
CAND00136,2023-12-23,Sales,Manager,LinkedIn,Female,B.Tech,Mumbai,3.2,True,True,4.6,False,,,False,False,
CAND00137,2022-11-13,Product,Manager,LinkedIn,Male,B.Sc,Mumbai,1.4,True,True,8.6,False,,,False,False,
CAND00138,2022-11-22,Data Science,Lead,Indeed,Male,B.Sc,Bangalore,5.6,False,False,,False,,,False,False,
CAND00139,2023-10-16,Data Science,Senior,Employee Referral,Female,MCA,Hyderabad,8.2,True,True,4.1,False,,,False,False,
CAND00140,2024-07-16,Engineering,Senior,Employee Referral,Male,B.Sc,Delhi,14.3,False,False,,False,,,False,False,
CAND00141,2023-03-08,HR,Junior,LinkedIn,Female,PhD,Hyderabad,7.2,True,False,,False,,,False,False,
CAND00142,2022-09-24,Finance,Lead,Naukri,Male,PhD,Pune,13.5,False,False,,False,,,False,False,
CAND00143,2022-11-08,Engineering,Mid-Level,Company Website,Male,B.Sc,Hyderabad,3.9,True,False,,False,,,False,False,
CAND00144,2022-05-14,Marketing,Senior,Naukri,Female,B.Tech,Pune,6.2,True,True,5.1,False,,,False,False,
CAND00145,2024-06-01,Finance,Senior,LinkedIn,Male,M.Tech,Hyderabad,7.3,True,True,7.8,False,,,False,False,
CAND00146,2023-03-27,Sales,Lead,Campus,Male,B.Tech,Kolkata,9.2,False,False,,False,,,False,False,
CAND00147,2023-04-09,Operations,Junior,Naukri,Female,MBA,Ahmedabad,12.3,False,False,,False,,,False,False,
CAND00148,2024-08-02,Engineering,Mid-Level,Employee Referral,Female,PhD,Mumbai,11.1,True,True,4.1,False,,,False,False,
CAND00149,2024-12-17,Sales,Junior,Naukri,Male,B.Sc,Mumbai,7.5,True,True,6.4,True,446111.0,464638.0,False,False,
CAND00150,2022-04-04,Engineering,Senior,LinkedIn,Female,PhD,Pune,1.2,False,False,,False,,,False,False,
CAND00151,2022-03-16,Engineering,Junior,Naukri,Male,M.Tech,Pune,7.8,False,False,,False,,,False,False,
CAND00152,2022-12-31,Engineering,Lead,Naukri,Female,BBA,Hyderabad,4.9,False,False,,False,,,False,False,
CAND00153,2023-09-08,Product,Senior,Employee Referral,Female,BBA,Hyderabad,0.9,False,False,,False,,,False,False,
CAND00154,2024-04-07,Engineering,Junior,Employee Referral,Female,BBA,Chennai,6.8,True,True,8.8,False,,,False,False,
CAND00155,2023-07-25,Engineering,Junior,Naukri,Other,M.Tech,Mumbai,12.6,False,False,,False,,,False,False,
CAND00156,2022-02-09,Engineering,Junior,Campus,Female,BBA,Hyderabad,10.6,True,True,6.2,True,472434.0,439684.0,True,True,37.0
CAND00157,2023-03-05,Product,Junior,Indeed,Female,PhD,Chennai,8.5,False,False,,False,,,False,False,
CAND00158,2022-06-04,Data Science,Senior,Naukri,Female,MBA,Chennai,10.8,True,False,,False,,,False,False,
CAND00159,2024-10-18,Data Science,Junior,LinkedIn,Male,BBA,Hyderabad,8.6,True,True,5.9,False,,,False,False,
CAND00160,2023-12-31,Engineering,Lead,Indeed,Male,MCA,Mumbai,12.4,True,True,7.0,True,1663181.0,2159146.0,False,False,
CAND00161,2022-01-20,Sales,Lead,Company Website,Male,PhD,Chennai,0.0,False,False,,False,,,False,False,
CAND00162,2024-04-05,Data Science,Senior,Naukri,Male,B.Tech,Delhi,7.3,False,False,,False,,,False,False,
CAND00163,2022-07-14,Data Science,Junior,Naukri,Male,M.Tech,Chennai,4.0,False,False,,False,,,False,False,
CAND00164,2023-12-20,Sales,Junior,Employee Referral,Male,M.Tech,Hyderabad,2.6,False,False,,False,,,False,False,
CAND00165,2023-06-12,Finance,Mid-Level,Campus,Female,MCA,Kolkata,7.9,True,True,9.8,True,658098.0,726852.0,False,False,
CAND00166,2023-11-21,Sales,Junior,Employee Referral,Female,B.Sc,Pune,12.5,True,True,4.3,False,,,False,False,
CAND00167,2024-08-04,Data Science,Mid-Level,Employee Referral,Male,B.Sc,Delhi,1.9,True,True,8.9,True,810508.0,718604.0,False,False,
CAND00168,2022-11-02,Engineering,Senior,LinkedIn,Female,MBA,Hyderabad,1.1,False,False,,False,,,False,False,
CAND00169,2023-11-04,Data Science,Lead,Campus,Male,MCA,Chennai,9.6,True,True,4.9,False,,,False,False,
CAND00170,2022-03-20,Marketing,Junior,Employee Referral,Male,MCA,Mumbai,1.1,True,False,,False,,,False,False,
CAND00171,2022-07-22,Finance,Mid-Level,Naukri,Male,PhD,Bangalore,9.9,True,True,8.0,False,,,False,False,
CAND00172,2023-11-16,Data Science,Junior,LinkedIn,Female,PhD,Ahmedabad,11.5,True,True,4.7,False,,,False,False,
CAND00173,2022-11-17,Finance,Mid-Level,Employee Referral,Male,MBA,Delhi,12.0,False,False,,False,,,False,False,
CAND00174,2023-01-06,Sales,Senior,Employee Referral,Female,M.Tech,Delhi,1.9,False,False,,False,,,False,False,
CAND00175,2022-09-21,Engineering,Mid-Level,Naukri,Male,B.Tech,Delhi,14.1,True,True,9.3,True,690040.0,852023.0,False,False,
CAND00176,2024-03-08,HR,Mid-Level,Company Website,Female,B.Sc,Chennai,12.6,False,False,,False,,,False,False,
CAND00177,2022-06-30,Sales,Mid-Level,LinkedIn,Other,BBA,Hyderabad,0.6,True,False,,False,,,False,False,
CAND00178,2023-10-09,HR,Mid-Level,LinkedIn,Female,B.Sc,Chennai,8.1,True,True,7.4,False,,,False,False,
CAND00179,2022-09-28,Operations,Senior,Employee Referral,Male,MBA,Delhi,0.1,True,False,,False,,,False,False,
CAND00180,2023-11-06,Engineering,Lead,Naukri,Male,MBA,Pune,11.0,True,True,8.7,True,1622823.0,2146402.0,True,True,28.0
CAND00181,2023-07-04,Finance,Senior,Campus,Female,PhD,Kolkata,7.1,True,True,7.9,False,,,False,False,
CAND00182,2022-07-02,Engineering,Senior,LinkedIn,Male,PhD,Pune,0.4,True,True,6.4,False,,,False,False,
CAND00183,2023-06-17,Marketing,Junior,Employee Referral,Male,M.Tech,Hyderabad,0.8,True,True,4.1,False,,,False,False,
CAND00184,2024-06-22,Sales,Senior,LinkedIn,Female,MBA,Chennai,3.1,True,True,4.7,False,,,False,False,
CAND00185,2022-11-24,Engineering,Junior,Naukri,Female,PhD,Bangalore,11.0,True,True,7.0,True,442309.0,518402.0,False,False,
CAND00186,2024-02-06,Finance,Junior,Company Website,Female,MBA,Delhi,2.5,False,False,,False,,,False,False,
CAND00187,2022-09-04,Sales,Manager,Employee Referral,Female,MCA,Delhi,12.8,True,True,6.9,True,2953014.0,2919271.0,False,False,
CAND00188,2022-09-04,Engineering,Lead,Indeed,Female,M.Tech,Chennai,0.9,True,True,9.5,True,1627237.0,1759024.0,True,True,21.0
CAND00189,2024-04-30,Engineering,Junior,Indeed,Male,BBA,Kolkata,6.7,True,True,4.2,True,468772.0,365064.0,True,True,21.0
CAND00190,2022-02-27,Engineering,Senior,LinkedIn,Female,PhD,Ahmedabad,14.1,True,True,8.4,False,,,False,False,
CAND00191,2023-10-29,Data Science,Junior,Employee Referral,Female,MCA,Bangalore,14.6,True,True,4.9,True,390115.0,493110.0,False,False,
CAND00192,2023-08-19,Marketing,Lead,LinkedIn,Female,B.Tech,Kolkata,10.6,True,True,6.9,True,2130676.0,2218480.0,False,False,
CAND00193,2023-01-25,Marketing,Senior,Naukri,Female,PhD,Ahmedabad,1.7,False,False,,False,,,False,False,
CAND00194,2024-04-05,HR,Mid-Level,Naukri,Female,MBA,Kolkata,11.4,True,True,8.0,True,683653.0,893190.0,False,False,
CAND00195,2023-03-04,Finance,Senior,Employee Referral,Male,MCA,Ahmedabad,4.2,True,True,6.7,True,1113626.0,1258178.0,True,True,22.0
CAND00196,2024-09-29,Data Science,Senior,Campus,Female,PhD,Mumbai,5.9,True,True,8.2,False,,,False,False,
CAND00197,2022-02-06,Data Science,Lead,Indeed,Male,BBA,Mumbai,9.0,True,False,,False,,,False,False,
CAND00198,2024-03-21,HR,Senior,Naukri,Female,MCA,Ahmedabad,1.8,True,False,,False,,,False,False,
CAND00199,2023-12-20,Marketing,Senior,LinkedIn,Male,M.Tech,Chennai,14.7,True,True,4.6,True,1376265.0,1133266.0,True,False,42.0
CAND00200,2024-06-18,Operations,Mid-Level,Campus,Female,M.Tech,Mumbai,7.1,True,True,7.0,False,,,False,False,
CAND00201,2022-06-05,Data Science,Senior,LinkedIn,Female,BBA,Mumbai,3.6,True,True,8.5,True,1303534.0,1210282.0,False,False,
CAND00202,2022-01-05,Marketing,Senior,Recruitment Agency,Male,MBA,Delhi,4.7,False,False,,False,,,False,False,
CAND00203,2023-07-16,Engineering,Manager,Employee Referral,Male,PhD,Bangalore,10.4,True,True,4.2,True,2739872.0,3180592.0,False,False,
CAND00204,2023-09-06,Finance,Senior,Campus,Male,B.Tech,Chennai,10.1,True,True,6.8,False,,,False,False,
CAND00205,2024-03-21,Marketing,Manager,Naukri,Male,M.Tech,Mumbai,0.6,False,False,,False,,,False,False,
CAND00206,2022-01-20,Data Science,Mid-Level,Indeed,Female,MBA,Bangalore,12.1,False,False,,False,,,False,False,
CAND00207,2024-02-10,Finance,Lead,Naukri,Male,PhD,Hyderabad,1.7,True,True,5.5,True,1873134.0,1774024.0,False,False,
CAND00208,2024-01-02,Data Science,Senior,LinkedIn,Male,M.Tech,Hyderabad,12.8,True,False,,False,,,False,False,
CAND00209,2024-12-26,Engineering,Junior,LinkedIn,Female,BBA,Hyderabad,8.7,False,False,,False,,,False,False,
CAND00210,2024-09-23,Marketing,Lead,LinkedIn,Female,B.Tech,Pune,1.4,False,False,,False,,,False,False,
CAND00211,2023-04-21,HR,Senior,Indeed,Male,PhD,Ahmedabad,4.8,False,False,,False,,,False,False,
CAND00212,2024-02-09,Sales,Mid-Level,Indeed,Female,MCA,Chennai,8.9,True,True,4.6,False,,,False,False,
CAND00213,2023-11-26,Marketing,Manager,Employee Referral,Female,PhD,Mumbai,7.6,True,True,6.2,True,2284236.0,2282527.0,True,False,43.0
CAND00214,2023-08-12,Marketing,Mid-Level,Employee Referral,Male,M.Tech,Ahmedabad,8.9,False,False,,False,,,False,False,
CAND00215,2022-08-28,Engineering,Lead,Indeed,Male,PhD,Pune,6.6,True,True,5.7,False,,,False,False,
CAND00216,2024-01-10,Data Science,Mid-Level,Campus,Female,PhD,Mumbai,0.4,True,True,9.6,True,711873.0,824905.0,False,False,
